@relation german_credit-weka.filters.unsupervised.instance.Normalize-N1.0-L2.0-weka.filters.unsupervised.instance.Randomize-S42

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute installment_commitment numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank,stores,none}
@attribute housing {rent,own,'for free'}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute class {good,bad}

@data
<0,0.013272,'existing paid',furniture/equipment,0.999797,<100,>=7,0.000737,'male single',none,0.000737,'life insurance',0.015115,bank,own,0.000369,skilled,0.000737,none,yes,bad
>=200,0.012449,'all paid',radio/tv,0.99934,'no known savings',4<=X<7,0.002766,'male single',none,0.002766,car,0.033888,bank,own,0.000692,'unskilled resident',0.000692,none,yes,good
0<=X<200,0.003985,'existing paid',furniture/equipment,0.999987,100<=X<500,<1,0.000443,'male single','co applicant',0.000111,'no known property',0.00321,none,rent,0.000111,'high qualif/self emp/mgmt',0.000111,yes,yes,bad
0<=X<200,0.011626,'delayed previously',furniture/equipment,0.999795,<100,unemployed,0.001453,'female div/dep/mar',none,0.000969,'life insurance',0.016469,none,own,0.000484,'high qualif/self emp/mgmt',0.000484,yes,yes,bad
0<=X<200,0.003318,'critical/other existing credit',furniture/equipment,0.999964,<100,>=7,0.000276,'male single',none,0.001106,car,0.007741,none,rent,0.000829,skilled,0.000276,yes,yes,good
0<=X<200,0.013474,'existing paid',radio/tv,0.999732,100<=X<500,1<=X<4,0.001497,'female div/dep/mar','co applicant',0.001497,'no known property',0.018715,none,'for free',0.000374,skilled,0.000374,none,yes,bad
<0,0.010024,'existing paid','used car',0.999934,<100,4<=X<7,0.000835,'male single',none,0.000627,'life insurance',0.00543,none,own,0.000209,skilled,0.000418,none,yes,good
<0,0.017435,'existing paid','domestic appliance',0.996685,<100,<1,0.011623,'female div/dep/mar',none,0.002906,'real estate',0.078456,none,own,0.002906,skilled,0.002906,none,yes,good
<0,0.012746,'all paid','new car',0.999619,'no known savings',1<=X<4,0.002428,'male single',none,0.001214,'life insurance',0.024277,none,own,0.001214,'unskilled resident',0.001214,none,yes,bad
0<=X<200,0.017263,'existing paid','new car',0.99934,'no known savings',1<=X<4,0.003836,'female div/dep/mar',none,0.001918,'life insurance',0.031649,none,own,0.000959,skilled,0.000959,none,yes,bad
0<=X<200,0.01221,'delayed previously','new car',0.999692,'no known savings',1<=X<4,0.002035,'female div/dep/mar',none,0.002035,car,0.021367,none,rent,0.001017,skilled,0.000509,yes,yes,good
0<=X<200,0.015401,'critical/other existing credit',radio/tv,0.99976,<100,>=7,0.001711,'male single',none,0.001711,'real estate',0.015401,none,own,0.000428,skilled,0.000428,none,yes,good
0<=X<200,0.019975,'existing paid','new car',0.99956,<100,<1,0.003329,'male single',none,0.000832,'life insurance',0.021639,none,own,0.000832,skilled,0.000832,none,yes,good
'no checking',0.010921,'critical/other existing credit','used car',0.999745,'no known savings',4<=X<7,0.00182,'male single',none,0.00182,car,0.019567,none,own,0.00091,skilled,0.00091,yes,yes,good
<0,0.006328,'existing paid','new car',0.999796,<100,<1,0.002109,'male single',none,0.001406,'no known property',0.018983,none,'for free',0.000703,'high qualif/self emp/mgmt',0.000703,yes,yes,bad
0<=X<200,0.003246,'no credits/all paid',business,0.999982,<100,>=7,0.00024,'female div/dep/mar',none,0.000481,'no known property',0.005049,none,'for free',0.00024,'high qualif/self emp/mgmt',0.00012,yes,yes,bad
'no checking',0.014023,'no credits/all paid',radio/tv,0.995645,<100,>=7,0.009349,'male mar/wid',none,0.009349,car,0.091151,none,own,0.002337,'unskilled resident',0.002337,none,yes,good
0<=X<200,0.003944,'all paid','new car',0.999988,'no known savings',unemployed,0.000329,'male single','co applicant',0.000329,'no known property',0.002958,none,'for free',0.000082,'high qualif/self emp/mgmt',0.000082,yes,yes,good
<0,0.00436,'existing paid','new car',0.998497,'no known savings',unemployed,0.002907,'female div/dep/mar',none,0.00218,'life insurance',0.054503,none,own,0.000727,'high qualif/self emp/mgmt',0.000727,yes,yes,good
'no checking',0.015042,'critical/other existing credit',radio/tv,0.999007,'no known savings',>=7,0.005014,'female div/dep/mar',none,0.00376,'life insurance',0.041364,bank,own,0.001253,'unskilled resident',0.002507,none,yes,bad
0<=X<200,0.005602,'existing paid',radio/tv,0.999953,500<=X<1000,<1,0.000311,'male mar/wid',none,0.000934,'real estate',0.007781,none,rent,0.000311,skilled,0.000311,none,yes,good
'no checking',0.001656,'critical/other existing credit','new car',0.999996,'no known savings',>=7,0.000315,'male single',none,0.000315,'no known property',0.002366,none,'for free',0.000079,'high qualif/self emp/mgmt',0.000079,yes,yes,bad
'no checking',0.016329,'existing paid','new car',0.99947,100<=X<500,>=7,0.002721,'male mar/wid',none,0.002721,'real estate',0.027895,none,rent,0.00068,'unskilled resident',0.00068,none,yes,good
'no checking',0.00376,'existing paid',radio/tv,0.999479,<100,4<=X<7,0.00188,'male single',none,0.001253,'life insurance',0.031958,none,own,0.000627,skilled,0.001253,none,yes,good
>=200,0.015712,'delayed previously',business,0.999274,<100,>=7,0.002095,'male single',none,0.002095,'real estate',0.034566,none,own,0.000524,'high qualif/self emp/mgmt',0.000524,yes,yes,bad
<0,0.012381,'existing paid',radio/tv,0.999783,<100,<1,0.002064,'male div/sep',none,0.001548,'life insurance',0.016508,none,own,0.000516,skilled,0.000516,none,yes,bad
<0,0.004319,'existing paid','used car',0.999975,'no known savings',>=7,0.00036,'male single',none,0.00048,'no known property',0.005639,none,'for free',0.00012,skilled,0.00012,none,yes,bad
>=200,0.007985,'existing paid',radio/tv,0.999014,100<=X<500,>=7,0.001774,'male div/sep',none,0.003549,'real estate',0.043474,none,own,0.000887,skilled,0.000887,none,yes,good
0<=X<200,0.0097,'existing paid',education,0.999926,'no known savings',1<=X<4,0.000539,'male mar/wid',none,0.000539,car,0.007275,none,own,0.000269,skilled,0.000269,none,yes,good
0<=X<200,0.013593,'critical/other existing credit','new car',0.998229,<100,unemployed,0.001699,'male single',none,0.002549,car,0.05777,none,'for free',0.002549,'unemp/unskilled non res',0.00085,yes,yes,good
'no checking',0.007637,'existing paid','new car',0.999748,'no known savings',1<=X<4,0.003055,'male single',guarantor,0.003055,'life insurance',0.020621,none,own,0.000764,'unskilled resident',0.000764,none,yes,bad
0<=X<200,0.007939,'existing paid',radio/tv,0.996363,<100,1<=X<4,0.002646,'female div/dep/mar',guarantor,0.00397,'real estate',0.084684,none,own,0.001323,skilled,0.001323,none,yes,good
0<=X<200,0.002717,'existing paid',radio/tv,0.999903,<100,1<=X<4,0.000776,'male single',guarantor,0.000776,'real estate',0.013586,none,own,0.000388,skilled,0.000388,none,yes,good
<0,0.011893,'existing paid',radio/tv,0.999809,<100,>=7,0.000396,'male single',guarantor,0.001189,'life insurance',0.015461,none,own,0.000396,skilled,0.000793,none,yes,good
'no checking',0.008356,'critical/other existing credit',radio/tv,0.999885,100<=X<500,>=7,0.001044,'male single',none,0.001393,'real estate',0.012533,none,own,0.000348,skilled,0.000696,yes,yes,good
'no checking',0.0096,'critical/other existing credit',education,0.9984,500<=X<1000,>=7,0.004267,'male single',none,0.002133,car,0.055467,none,own,0.002133,skilled,0.001067,yes,yes,good
<0,0.011079,'no credits/all paid','new car',0.99894,<100,1<=X<4,0.003693,'male single',none,0.003693,car,0.044315,bank,own,0.001846,skilled,0.000923,none,yes,bad
0<=X<200,0.006262,'all paid','new car',0.999773,100<=X<500,4<=X<7,0.001391,'male single',none,0.002087,'no known property',0.020176,none,own,0.000696,skilled,0.000696,none,yes,bad
0<=X<200,0.002906,'existing paid','new car',0.999991,'no known savings',1<=X<4,0.000081,'male single',none,0.000323,'no known property',0.002986,none,'for free',0.000081,skilled,0.000081,yes,yes,bad
<0,0.007174,'existing paid',furniture/equipment,0.999905,<100,>=7,0.001196,'male single',none,0.000598,'life insurance',0.011658,none,rent,0.000299,'high qualif/self emp/mgmt',0.000299,yes,yes,bad
'no checking',0.00145,'existing paid',business,0.999768,<100,4<=X<7,0.00029,'male single',none,0.00116,'real estate',0.021457,none,own,0.00029,'unskilled resident',0.00029,none,yes,good
>=200,0.005582,'existing paid',business,0.999936,<100,4<=X<7,0.000744,'male single',none,0.001489,'life insurance',0.009676,none,rent,0.000372,skilled,0.000372,yes,yes,good
0<=X<200,0.015606,'existing paid',radio/tv,0.996165,500<=X<1000,1<=X<4,0.005202,'male single',none,0.003901,'real estate',0.085831,none,own,0.0013,'unskilled resident',0.0013,none,yes,bad
<0,0.007534,'existing paid',radio/tv,0.999906,<100,<1,0.001674,'female div/dep/mar',none,0.000419,car,0.011301,stores,own,0.000419,skilled,0.000419,none,yes,good
<0,0.004109,'existing paid','new car',0.999959,100<=X<500,1<=X<4,0.000685,'male single',none,0.000913,car,0.007991,none,own,0.000228,'unskilled resident',0.000457,yes,yes,good
0<=X<200,0.008581,'all paid',furniture/equipment,0.999915,>=1000,1<=X<4,0.001144,'male single',none,0.000572,car,0.009725,stores,own,0.000286,skilled,0.000572,yes,yes,good
'no checking',0.005051,'critical/other existing credit',furniture/equipment,0.999982,<100,<1,0.000281,'female div/dep/mar',none,0.000561,'life insurance',0.003227,none,rent,0.000281,skilled,0.00014,yes,yes,bad
'no checking',0.009291,'critical/other existing credit',radio/tv,0.999582,<100,1<=X<4,0.003097,'female div/dep/mar',none,0.001549,'life insurance',0.027099,none,own,0.001549,skilled,0.000774,none,yes,good
0<=X<200,0.012486,'no credits/all paid',business,0.999882,100<=X<500,4<=X<7,0.00104,'male single',none,0.00104,'no known property',0.008844,none,'for free',0.00026,'unskilled resident',0.00052,none,yes,bad
<0,0.001936,'no credits/all paid',radio/tv,0.999988,<100,1<=X<4,0.000645,'male single',none,0.000323,'life insurance',0.004517,none,rent,0.000323,skilled,0.000161,yes,yes,bad
0<=X<200,0.005659,'no credits/all paid',business,0.999947,<100,1<=X<4,0.000236,'male single',none,0.000943,'real estate',0.008488,none,own,0.000707,'unskilled resident',0.000236,yes,yes,bad
'no checking',0.009672,'critical/other existing credit',radio/tv,0.999476,'no known savings',>=7,0.003224,'female div/dep/mar',none,0.001612,'real estate',0.030629,none,own,0.001612,skilled,0.000806,yes,yes,good
0<=X<200,0.007901,'no credits/all paid','new car',0.999891,100<=X<500,<1,0.001317,'female div/dep/mar',none,0.001317,car,0.01229,none,own,0.000878,skilled,0.000439,none,yes,bad
>=200,0.018813,'critical/other existing credit',business,0.999417,>=1000,1<=X<4,0.001568,'male div/sep',none,0.003135,'real estate',0.028219,none,own,0.001568,skilled,0.000784,yes,yes,good
>=200,0.008048,'existing paid',radio/tv,0.999943,<100,>=7,0.000894,'male single',none,0.000447,car,0.00693,none,own,0.000224,skilled,0.000224,none,yes,good
'no checking',0.004981,'no credits/all paid','new car',0.999559,100<=X<500,1<=X<4,0.003321,'male single',none,0.00083,'no known property',0.029057,bank,rent,0.00083,skilled,0.00083,none,no,good
0<=X<200,0.008718,'existing paid',furniture/equipment,0.999942,100<=X<500,1<=X<4,0.000581,'female div/dep/mar','co applicant',0.001162,car,0.006103,none,rent,0.000291,skilled,0.000291,none,yes,bad
>=200,0.004465,'critical/other existing credit','new car',0.999397,<100,>=7,0.000744,'male single',none,0.002977,'real estate',0.034231,none,own,0.001488,skilled,0.001488,none,no,good
0<=X<200,0.001974,'existing paid','new car',0.999984,<100,4<=X<7,0.000329,'male single',none,0.000329,car,0.005265,none,own,0.000165,skilled,0.000165,none,yes,good
'no checking',0.00374,'critical/other existing credit',furniture/equipment,0.999909,<100,unemployed,0.000831,'male single',none,0.001247,car,0.012883,none,own,0.000416,'high qualif/self emp/mgmt',0.000416,none,yes,good
0<=X<200,0.006448,'critical/other existing credit',business,0.99991,500<=X<1000,1<=X<4,0.00086,'male single',none,0.00172,car,0.011607,bank,own,0.00043,skilled,0.00043,none,yes,good
0<=X<200,0.008829,'existing paid','new car',0.999932,<100,1<=X<4,0.001104,'female div/dep/mar',none,0.001472,'life insurance',0.007358,none,rent,0.000368,'unskilled resident',0.000368,yes,yes,bad
<0,0.00961,'delayed previously',radio/tv,0.999936,<100,4<=X<7,0.000686,'male single',none,0.000458,'life insurance',0.005949,bank,own,0.000458,skilled,0.000458,yes,yes,bad
'no checking',0.015452,'existing paid',radio/tv,0.999212,<100,1<=X<4,0.005151,'male mar/wid',none,0.002575,'real estate',0.036054,none,own,0.001288,skilled,0.001288,none,yes,good
0<=X<200,0.003063,'existing paid',business,0.999994,<100,1<=X<4,0.000128,'male single',none,0.000128,car,0.001468,none,own,0.000064,skilled,0.000064,yes,yes,bad
'no checking',0.015649,'existing paid',radio/tv,0.999565,<100,<1,0.002608,'female div/dep/mar',none,0.001956,car,0.024777,stores,own,0.000652,skilled,0.000652,yes,yes,good
'no checking',0.013354,'existing paid',business,0.999642,>=1000,>=7,0.002544,'female div/dep/mar',none,0.002544,'real estate',0.022893,bank,own,0.000636,'unskilled resident',0.000636,none,yes,good
<0,0.008009,'existing paid',radio/tv,0.999846,<100,1<=X<4,0.00267,'female div/dep/mar',none,0.000667,car,0.015351,bank,own,0.000667,skilled,0.000667,none,yes,good
'no checking',0.00812,'critical/other existing credit','new car',0.999618,<100,>=7,0.002436,'male single',none,0.003248,'real estate',0.025985,none,own,0.001624,'unskilled resident',0.001624,none,no,good
<0,0.007233,'critical/other existing credit',business,0.99985,<100,<1,0.001669,'male single',none,0.000556,'life insurance',0.015579,bank,own,0.001113,'unskilled resident',0.000556,none,yes,good
'no checking',0.011564,'existing paid',radio/tv,0.998348,<100,1<=X<4,0.005782,'female div/dep/mar',none,0.001927,'real estate',0.055892,none,own,0.001927,skilled,0.001927,none,yes,good
0<=X<200,0.004526,'delayed previously','used car',0.999977,<100,>=7,0.000168,'male single',none,0.000335,car,0.005029,none,own,0.000335,'high qualif/self emp/mgmt',0.000168,yes,yes,good
'no checking',0.006204,'critical/other existing credit',radio/tv,0.999889,<100,>=7,0.001034,'male single',none,0.001034,'no known property',0.013442,none,own,0.001034,skilled,0.000517,none,yes,good
<0,0.011585,'all paid',furniture/equipment,0.999526,<100,1<=X<4,0.002574,'male single',none,0.001931,car,0.028319,bank,own,0.000644,skilled,0.000644,none,yes,bad
'no checking',0.004358,'critical/other existing credit',repairs,0.999958,<100,>=7,0.000545,'male single',none,0.000726,'no known property',0.007989,none,'for free',0.000363,skilled,0.000182,none,yes,good
<0,0.006742,'no credits/all paid',furniture/equipment,0.999949,<100,1<=X<4,0.000421,'male single',none,0.000562,'no known property',0.007444,none,'for free',0.000281,skilled,0.000281,none,yes,bad
'no checking',0.013413,'critical/other existing credit',radio/tv,0.999823,'no known savings',>=7,0.001118,'male single',none,0.000279,'real estate',0.013134,none,own,0.000279,skilled,0.000279,yes,yes,good
<0,0.002266,'existing paid',radio/tv,0.999858,500<=X<1000,1<=X<4,0.000755,'male single',none,0.001133,'real estate',0.01662,none,rent,0.000378,skilled,0.000755,none,yes,good
0<=X<200,0.001755,'all paid','used car',0.999894,<100,>=7,0.00039,'female div/dep/mar',none,0.00078,'no known property',0.014426,bank,'for free',0.000195,'high qualif/self emp/mgmt',0.00039,yes,yes,bad
'no checking',0.004355,'existing paid',furniture/equipment,0.99998,100<=X<500,1<=X<4,0.000726,'male single',none,0.000181,car,0.004536,stores,own,0.000181,skilled,0.000181,none,yes,good
<0,0.003544,'existing paid','used car',0.999939,<100,>=7,0.000886,'male single',none,0.001181,'no known property',0.010336,none,'for free',0.000295,skilled,0.000295,yes,yes,bad
0<=X<200,0.002605,'no credits/all paid',other,0.999995,<100,1<=X<4,0.000054,'female div/dep/mar',none,0.000109,'life insurance',0.001737,bank,own,0.000054,'high qualif/self emp/mgmt',0.000054,yes,no,bad
0<=X<200,0.013459,'all paid',business,0.999873,100<=X<500,4<=X<7,0.001122,'male single',none,0.000561,car,0.008412,none,own,0.00028,skilled,0.00028,none,yes,good
'no checking',0.017098,'critical/other existing credit',education,0.998788,<100,1<=X<4,0.005699,'male single',none,0.00285,car,0.045594,none,own,0.00285,skilled,0.001425,none,yes,good
0<=X<200,0.011913,'existing paid','new car',0.999681,>=1000,1<=X<4,0.003971,'male mar/wid',none,0.000993,'real estate',0.02184,none,own,0.000993,skilled,0.000993,none,yes,good
'no checking',0.010207,'critical/other existing credit',radio/tv,0.99989,<100,>=7,0.001458,'male single',none,0.000729,car,0.010571,none,own,0.000729,skilled,0.000365,none,yes,good
>=200,0.008756,'critical/other existing credit','used car',0.999893,<100,>=7,0.000834,'male single',none,0.000834,'no known property',0.011675,none,'for free',0.000208,skilled,0.000208,none,yes,good
0<=X<200,0.007317,'existing paid','new car',0.999966,100<=X<500,4<=X<7,0.000457,'male single',none,0.000305,'life insurance',0.003658,none,own,0.000152,skilled,0.000152,none,yes,bad
<0,0.013666,'existing paid',other,0.999355,<100,>=7,0.002278,'female div/dep/mar',guarantor,0.002278,'real estate',0.033027,none,own,0.000569,'unskilled resident',0.000569,yes,yes,good
0<=X<200,0.005916,'existing paid','used car',0.99987,'no known savings',1<=X<4,0.001972,'male single',none,0.000986,car,0.014791,none,own,0.000493,skilled,0.000493,none,yes,good
'no checking',0.010276,'critical/other existing credit',radio/tv,0.999508,<100,1<=X<4,0.00274,'female div/dep/mar',none,0.00137,car,0.029458,none,own,0.000685,'unskilled resident',0.000685,none,yes,good
'no checking',0.002787,'all paid','new car',0.999978,<100,>=7,0.00031,'male single',none,0.000619,'no known property',0.006039,bank,own,0.00031,'high qualif/self emp/mgmt',0.00031,yes,yes,bad
<0,0.008993,'critical/other existing credit','new car',0.998216,>=1000,4<=X<7,0.004496,'female div/dep/mar',none,0.005995,'real estate',0.058454,none,own,0.002998,'unskilled resident',0.001499,yes,yes,good
<0,0.0025,'existing paid',repairs,0.999993,<100,<1,0.000083,'male div/sep',none,0.000083,'no known property',0.002834,none,own,0.000083,'unskilled resident',0.000083,yes,yes,bad
<0,0.00977,'existing paid','new car',0.999754,<100,1<=X<4,0.003257,'female div/dep/mar',none,0.001628,'real estate',0.019539,none,own,0.000814,'unskilled resident',0.000814,none,yes,bad
<0,0.006921,'existing paid',radio/tv,0.999661,<100,1<=X<4,0.001538,'male single',none,0.001538,'no known property',0.024992,none,'for free',0.000769,skilled,0.000384,none,yes,bad
'no checking',0.005937,'critical/other existing credit','used car',0.999925,'no known savings',4<=X<7,0.000742,'male single',none,0.00099,'life insurance',0.010637,none,own,0.000495,skilled,0.000247,yes,yes,good
'no checking',0.002015,'existing paid',furniture/equipment,0.99994,500<=X<1000,1<=X<4,0.000336,'male single',none,0.000672,car,0.010745,none,own,0.000336,skilled,0.000336,yes,yes,good
<0,0.005654,'critical/other existing credit','new car',0.999813,<100,1<=X<4,0.001413,'male single',none,0.000942,'real estate',0.018375,none,rent,0.000942,'unskilled resident',0.000942,none,no,good
'no checking',0.012963,'critical/other existing credit',radio/tv,0.999753,<100,4<=X<7,0.00216,'male mar/wid',guarantor,0.00108,car,0.017824,none,own,0.00108,skilled,0.00054,yes,yes,good
<0,0.010592,'existing paid',radio/tv,0.999906,<100,<1,0.001009,'male single',none,0.000757,car,0.008574,none,own,0.000252,skilled,0.000252,none,yes,bad
